question_id,question,expected_paper,chunk_size,chunk_overlap,top_k,num_nodes,retrieved_files,retrieved_pages,answer,retrieved_sources_preview,answer_quality_score,faithfulness_score,failure_type,notes
Q1,ViT 为什么可以把图像当成词序列来处理？请结合 patch embedding、position embedding、class token 和 Transformer Encoder 解释。,VIT.pdf,300,45,4,1027,VIT.pdf; VIT.pdf; VIT.pdf; VIT.pdf,1; 3; 3; 4,"ViT 把图像当成词序列来处理，是通过以下设计实现的：

- **Patch Embedding（块嵌入）**：将图像切分成固定大小的块（patches），对每个块进行线性投影，得到一维向量，这些向量就相当于 NLP 中的词嵌入（token embeddings）。图像块被当作词元（tokens）一样对待，形成序列输入。
- **Position Embedding（位置嵌入）**：由于 Transformer 本身不具备序列顺序的感知能力，ViT 为每个块嵌入加上可学习的 1D 位置嵌入，以保留块之间的位置信息。这样即使初始时没有 2D 空间先验，模型也能从数据中学习空间关系。
- **Class Token（分类标记）**：类似 BERT 的 `[class]` 标记，ViT 在序列最前面添加一个可学习的嵌入（class token）。经过 Transformer 编码器后，该标记对应的输出状态被用作整个图像的表示，并连接分类头进行分类。
- **Transformer Encoder（Transformer 编码器）**：由多头自注意力和 MLP 块交替堆叠而成。自注意力层是全局的，能够捕捉所有块之间的关系，而 MLP 层是局部且平移等变的。整个序列（包括 class token 和带位置嵌入的块嵌入）被送入标准 Transformer 编码器进行处理。

通过这种“切块→线性嵌入→加位置嵌入→前置分类标记→送入 Transformer”的流程，图像被转换成一个向量序列，从而可以像 NLP 中的词序列一样被 Transformer 处理。","Source 1: VIT.pdf, page 1, score=0.6250691674795849
Inspired by the Transformer scaling successes in NLP, we experiment with applying a standard                       Transformer directly to images, with the fewest possible modiﬁcations. To do so, we split an image                          into patches and provide the sequence of linear embeddings of these patches as an input to a Trans-                        former. Image patches are treated the same way as tokens (words) in an NLP application. We train                         the model on imag

Source 2: VIT.pdf, page 3, score=0.6225974901164469
Published as a conference paper at ICLR 2021                                 Vision Transformer (ViT)                          Transformer Encoder                  Class                                                                              L x   +                    Bird     MLP                       Ball                     Car        Head                                       MLP                                     ...                                                                     

Source 3: VIT.pdf, page 3, score=0.6193285313972832
1). We refer to the output of this projection as the patch embeddings.  Similar to BERT’s [class] token, we prepend a learnable embedding to the sequence of embed- ded patches (z00 = xclass), whose state at the output of the Transformer encoder (z0L) serves as the image representation y (Eq. 4). Both during pre-training and ﬁne-tuning, a classiﬁcation head is at- tached to z0L. The classiﬁcation head is implemented by a MLP with one hidden layer at pre-training time and by a single linear layer 

Source 4: VIT.pdf, page 4, score=0.6174025065605848
In ViT, only MLP layers are local and transla- tionally equivariant, while the self-attention layers are global. The two-dimensional neighborhood structure is used very sparingly: in the beginning of the model by cutting the image into patches and at ﬁne-tuning time for adjusting the position embeddings for images of different resolution (as de- scribed below). Other than that, the position embeddings at initialization time carry no information about the 2D positions of the patches and all spati",5,4,none,检索全部来自 VIT，覆盖 page 1/3/4；答案完整解释 patch embedding、position embedding、class token、Transformer Encoder。少量表述如 MLP 局部/平移等变略不严谨，faithfulness 给 4。
Q2,CLIP 的 contrastive pre-training objective 是什么？请解释 image-text pairs、cosine similarity 和 symmetric cross entropy loss 的作用。,CLIP.pdf,300,45,4,1027,CLIP.pdf; CLIP.pdf; CLIP.pdf; CLIP.pdf,4; 5; 1; 2,"根据检索到的论文片段，CLIP 的对比预训练目标可以概括为：**在一批（图像，文本）对中，最大化正确配对的图像和文本之间的余弦相似度，同时最小化错误配对的相似度，并通过对称的交叉熵损失进行优化**。具体解释如下：

- **image-text pairs（图像-文本对）**：CLIP 联合训练一个图像编码器和一个文本编码器，目标是预测一批训练样本中正确的（图像，文本）配对关系（见 page 2 的 Figure 1 描述）。每个 batch 包含 N 个图像-文本对，形成 N 个正样本对，其余 N² - N 个组合为负样本对。

- **cosine similarity（余弦相似度）**：图像和文本编码器分别输出表示向量，经过线性投影映射到多模态嵌入空间后，进行 L2 归一化，然后计算归一化后的点积，即余弦相似度（见 page 5 伪代码：`I_e = l2_normalize(np.dot(I_f, W_i), axis=1)`，`logits = np.dot(I_e, T_e.T) * np.exp(t)`）。这个相似度矩阵衡量了每一对图像和文本的匹配程度。

- **symmetric cross entropy loss（对称交叉熵损失）**：在相似度矩阵上，分别从图像到文本和文本到图像两个方向计算交叉熵损失，然后取平均（见 page 5 伪代码：`loss_i = cross_entropy_loss(logits, labels, axis=0)`，`loss_t = cross_entropy_loss(logits, labels, axis=1)`，`loss = (loss_i + loss_t)/2`）。这样做的目的是让模型同时学会根据图像找到正确的文本，以及根据文本找到正确的图像，形成对称的对比学习约束。

综上，CLIP 的对比预训练目标就是利用图像-文本对的匹配关系，通过余弦相似度衡量匹配度，并用对称交叉熵损失拉近正样本对、推远负样本对。","Source 1: CLIP.pdf, page 4, score=0.6124162190770248
is not a major concern and the details of training CLIP are                                                         simpliﬁed compared to the implementation of Zhang et al. Our initial approach, similar to VirTex, jointly trained an                                                             (2020). We train CLIP from scratch without initializing the image CNN and text transformer from scratch to predict the                                                   image encoder with ImageNet weights or

Source 2: CLIP.pdf, page 5, score=0.6114181045045983
# joint multimodal embedding [n, d_e] I_e = l2_normalize(np.dot(I_f, W_i), axis=1) T_e = l2_normalize(np.dot(T_f, W_t), axis=1)             2.5. Training  # scaled pairwise cosine similarities [n, n]       We train a series of 5 ResNets and 3 Vision Transformers. logits = np.dot(I_e, T_e.T) * np.exp(t)               For the ResNets we train a ResNet-50, a ResNet-101, and                                                            then 3 more which follow EfﬁcientNet-style model scaling# symmetric

Source 3: CLIP.pdf, page 1, score=0.6105699613733735
Sri-                zero-shot without needing to use any of the 1.28                                                                       vastava & Salakhutdinov (2012) explored deep represen-                million training examples it was trained on. WearXiv:2103.00020v1                                                                      tation learning by training multimodal Deep Boltzmann                 release our code and pre-trained model weights at                                     

Source 4: CLIP.pdf, page 2, score=0.603649377121811
Figure 1. Summary of our approach. While standard image models jointly train an image feature extractor and a linear classiﬁer to predict some label, CLIP jointly trains an image encoder and a text encoder to predict the correct pairings of a batch of (image, text) training examples. At test time the learned text encoder synthesizes a zero-shot linear classiﬁer by embedding the names or descriptions of the target dataset’s classes.    classiﬁcation datasets by scoring target classes based on    ",5,5,none,检索全部来自 CLIP，包含 objective 和伪代码页；答案完整覆盖 image-text pairs、cosine similarity、symmetric cross entropy。
Q3,LLaVA 的 visual instruction tuning data 是如何由 GPT-4 生成的？请分别解释 conversation、detailed description 和 complex reasoning 三类数据。,llava.pdf,300,45,4,1027,llava.pdf; llava.pdf; llava.pdf; video-llava.pdf,7; 2; 5; 4,根据当前检索到的论文片段无法确定。,"Source 1: llava.pdf, page 7, score=0.656688892360059
We report relative scores w.r.t. a text-only GPT-4 model that uses ground truth image captions and bounding boxes as visual input. We prompt GPT-4 with the answers from our model outputs and the answers by GPT-4 (text-only), and let it compare between both responses and give a rating with an explanation.

Source 2: llava.pdf, page 2, score=0.6430697967639637
In this paper, we aim to fill this gap and study its effectiveness. Finally, note that visual instruction tuning is different from visual prompt tuning [23]: the former aims to improve the model’s instruction- following abilities, while the latter aims to improve the parameter-efficiency in model adaptation.  3  GPT-assisted Visual Instruction Data Generation  The community has witnessed a surge in the amount of public multimodal data such as image-text pairs, ranging from CC [8] to LAION [45]. 

Source 3: llava.pdf, page 5, score=0.6422851840495994
We first use the examples in the original GPT-4 paper [36], shown in Table 3 (more examples in Appendix), that require in-depth image understanding. For comparisons, we quote the prompt and response of the multimodal GPT-4 from their paper, and query BLIP-2 and OpenFlamingo model checkpoints to get their response.                                          5

Source 4: video-llava.pdf, page 4, score=0.6217057384892253
The train- 3.2  Training Pipeline                                                  ing objective remains the same as in the previous Overall, the process of generating responses by    stage. After this stage, the model learns to generate Video-LLaVA is similar to that of a large language    corresponding responses based on different instruc- model (GPT series). Given a textual input XT and    tions and requests. The LLM are also involved in visual signals XV, the input signals are encoded    tra",1,5,retrieval_failure,虽然主要检索到 llava，但页面偏向评估/泛泛介绍，未召回 GPT-4 生成三类 visual instruction data 的关键段落；拒答是忠实的。
Q4,在 Video-LLaVA 中，为什么作者认为 image features 和 video features 必须在 projection layer 之前对齐？请结合 unified visual representation 和 LanguageBind 解释。,video-llava.pdf,300,45,4,1027,video-llava.pdf; video-llava.pdf; video-llava.pdf; video-llava.pdf,4; 13; 5; 3,根据当前检索到的论文片段无法确定。片段中提到了 Video-LLaVA 使用 LanguageBind 编码器提取视觉特征，并通过共享的投影层（Share Projection）与语言模型连接，也提到了“unified visual representation”这一概念，但没有直接解释为什么图像特征和视频特征必须在投影层之前对齐。,"Source 1: video-llava.pdf, page 4, score=0.6572622597884117
The train- 3.2  Training Pipeline                                                  ing objective remains the same as in the previous Overall, the process of generating responses by    stage. After this stage, the model learns to generate Video-LLaVA is similar to that of a large language    corresponding responses based on different instruc- model (GPT series). Given a textual input XT and    tions and requests. The LLM are also involved in visual signals XV, the input signals are encoded    tra

Source 2: video-llava.pdf, page 13, score=0.633026127567263
[Input Instruction] What does the woman use to split the logs and how does                                                                                                                                                         she do it?                                                                                                                                                                        The woman uses an ax to split the logs. She holds the ax in her hand and swings it down        

Source 3: video-llava.pdf, page 5, score=0.6327489585134076
Yes, the image and the video are depicting the same place. The video shows                                                                   Image                          Video  the statue of liberty from different angles, while the image shows a close-up   of the statue. Both the video and the image capture the beauty and grandeur    of the statue of liberty.                Large Language Model   𝑓𝑓𝐋𝐋                                    Vicuna v1.5  V  V  V  V  V  V  V     T   T   T   T   T    

Source 4: video-llava.pdf, page 3, score=0.6232924487280335
In the first stage,                                                          capabilities from a unified visual representation.images are aligned with language using an auto- regressive pretraining style, and the second stage                                        3  Video-LLaVAinvolves instruction tuning through using a human instruction dataset. With the increasing scale of                                                    3.1  Model Structure large language model backends, approaches such   ",2,4,prompt_over_conservative + retrieval_incomplete,检索全来自 Video-LLaVA，包含 LanguageBind/unified representation 相关片段，但上下文不够集中；模型过于保守，只做部分说明后拒答。
Q5,Qwen2.5-VL 的动态分辨率、动态 FPS 和绝对时间编码分别解决了什么问题？,qwen2.5-VL.pdf,300,45,4,1027,qwen2.5-VL.pdf; qwen2.5-VL.pdf; qwen2.5-VL.pdf; qwen2.5-VL.pdf,7; 13; 21; 12,根据当前检索到的论文片段无法确定。,"Source 1: qwen2.5-VL.pdf, page 7, score=0.5451727200426562
7

Source 2: qwen2.5-VL.pdf, page 13, score=0.543276720657785
Table 8 demon- strates the performance comparison between Qwen2.5-VL models and top-tier proprietary models on the following video benchmarks: Video-MME (Fu et al., 2024a), Video-MMMU (Hu et al., 2025), MMVU (Zhao                                                13

Source 3: qwen2.5-VL.pdf, page 21, score=0.5415452469206127
Longvideobench: A benchmark for long-context   interleaved video-language understanding, 2024a. URL https://arxiv.org/abs/2407.15754.                                                21

Source 4: qwen2.5-VL.pdf, page 12, score=0.5305265638459208
For instance, on the MMStar dataset, Qwen2.5-VL-7B achieves 63.9%, while Qwen2.5-VL-3B scores 55.9%. This demonstrates that Qwen2.5-VL’s architecture is not only powerful but also scalable, maintaining strong performance even with fewer parameters.  3.3.2  Document Understanding and OCR  We evaluated our models across a diverse range of OCR, chart, and document understanding bench- marks.",1,5,retrieval_failure,检索全来自 Qwen2.5-VL，但多为视频 benchmark/参考文献/弱相关页，没有召回 native dynamic resolution 与 time encoding 的核心段落；拒答合理。
Q6,InternVL3.5 的 DvD（Decoupled Vision-Language Deployment）是什么？它如何把 vision encoder 和 language model 部署到不同 GPU 上来提升推理效率？,internvl.pdf,300,45,4,1027,internvl.pdf; internvl.pdf; CLIP.pdf; internvl.pdf,24; 4; 5; 3,根据当前检索到的论文片段，只能知道 InternVL3.5 提出了 Decoupled Vision-Language Deployment (DvD) 框架，并在 Table 18 中展示了它与 Visual Resolution Router (ViR) 对推理效率的消融实验结果，但片段中并未包含 DvD 如何将 vision encoder 和 language model 部署到不同 GPU 上的具体实现细节。因此，**根据当前检索到的论文片段无法确定** DvD 的具体部署方式及其提升推理效率的机制。,"Source 1: internvl.pdf, page 24, score=0.6458721441993163
05 ×)          8.81 (3.47 ×)                                   Baseline              1.48                   1.37                     1344     + DvD           2.92 (1.97 ×)          2.75 (2.01 ×)                           + DvD + ViR     5.14 (3.47 ×)          4.27 (3.12 ×)  Table 18: Ablation of Decoupled Vision-Language Deployment (DvD) and Visual Resolution Router (ViR) on inference efficiency. We send 16 requests per second to the deployed server. In all settings, the language models are depl

Source 2: internvl.pdf, page 4, score=0.6327274382615601
#Param     Model                    Vision Encoder   Language Model                                                                      Vision   Language            Total                                             Dense Models       InternVL3.5-1B           InternViT-300M   Qwen3-0.6B           0.3B        0.8B            1.1B      InternVL3.5-2B           InternViT-300M   Qwen3-1.7B           0.3B        2.0B            2.3B      InternVL3.5-4B           InternViT-300M  Qwen3-4B            0.

Source 3: CLIP.pdf, page 5, score=0.6225508872791119
We denote this is left as future work.                                           this model as ViT-L/14@336px. Unless otherwise speciﬁed,                                                                            all results reported in this paper as “CLIP” use this model While previous computer vision research has often scaled                                                    which we found to perform best. models by increasing the width (Mahajan et al., 2018) or depth (He et al., 2016a) in is

Source 4: internvl.pdf, page 3, score=0.6174997612743931
The details of our proposed Cascade Reinforcement Learning (Cascade RL) and Visual Consistency Learning (ViCO) methods are elaborated in Section 2.3. In Section 2.4, we present the test-time scaling approach used to further improve model performance. Finally, in Section 2.5, we describe the training and inference infrastructure supporting InternVL3.5, including implemen- tation details of the Decoupled Vision-Language Deployment (DvD) framework. The overall architecture is shown in Figure 2, and",2,4,retrieval_incomplete + mixed_sources,检索到 internvl 的 DvD 表格页和部分模型页，但混入 CLIP，缺少 DvD 机制说明；答案只给出部分信息。
Q1,ViT 为什么可以把图像当成词序列来处理？请结合 patch embedding、position embedding、class token 和 Transformer Encoder 解释。,VIT.pdf,500,75,4,621,VIT.pdf; VIT.pdf; VIT.pdf; VIT.pdf,1; 3; 3; 4,"ViT 将图像当成词序列来处理，核心在于把图像切分成固定大小的二维块（patch），并将每个块线性投影为向量，从而得到一个一维的“词元”序列。具体过程如下：

- **Patch Embedding**：对于输入图像 \(x \in \mathbb{R}^{H \times W \times C}\)，将其切分成 \(N = HW/P^2\) 个大小为 \(P \times P\) 的块，每个块展平后维度为 \(P^2 \cdot C\)。随后通过一个可训练的线性投影，将每个展平的块映射到 \(D\) 维的嵌入向量，这些向量就相当于 NLP 中的词嵌入（token embeddings），形成长度为 \(N\) 的序列。

- **Class Token**：类似 BERT 的 [class] token，ViT 在块嵌入序列的最前面添加一个可学习的嵌入向量（\(z_0^0 = x_{\text{class}}\)）。这个 class token 本身不携带任何图像块的信息，但在经过 Transformer 编码器后，其输出状态（\(z_L^0\)）被用作整个图像的表示，用于分类。

- **Position Embedding**：为了保留块之间的空间位置信息，ViT 为每个位置添加可学习的 1D 位置嵌入。这些位置嵌入与块嵌入相加，使模型能够区分不同位置的块，尽管图像是二维的，但实验发现标准的 1D 位置嵌入已足够。

- **Transformer Encoder**：由交替的多头自注意力（MSA）和 MLP 块组成，并应用层归一化和残差连接。这个编码器直接接收上述带有位置嵌入和 class token 的嵌入序列，就像处理文本词元序列一样，通过自注意力机制建模所有块之间的全局关系，最终输出用于分类的图像表示。

因此，ViT 通过将图像分块并线性投影为嵌入序列，再补充 class token 和位置嵌入，使得原本为处理一维词序列设计的标准 Transformer 编码器可以直接应用于图像，从而把图像当作词序列来处理。","Source 1: VIT.pdf, page 1, score=0.6364481112858468
Image patches are treated the same way as tokens (words) in an NLP application. We train                         the model on image classiﬁcation in supervised fashion.                  When trained on mid-sized datasets such as ImageNet without strong regularization, these mod-                           els yield modest accuracies of a few percentage points below ResNets of comparable size. This                      seemingly discouraging outcome may be expected: Transformers lack some of the i

Source 2: VIT.pdf, page 3, score=0.6304705679130508
3.1  VISION TRANSFORMER (VIT)   An overview of the model is depicted in Figure 1. The standard Transformer receives as input a 1D sequence of token embeddings. To handle 2D images, we reshape the image x ∈RH×W ×C into a sequence of ﬂattened 2D patches xp ∈RN×(P 2·C), where (H, W) is the resolution of the original image, C is the number of channels, (P, P) is the resolution of each image patch, and N = HW/P 2 is the resulting number of patches, which also serves as the effective input sequence le

Source 3: VIT.pdf, page 3, score=0.6095777676317315
Published as a conference paper at ICLR 2021                                 Vision Transformer (ViT)                          Transformer Encoder                  Class                                                                              L x   +                    Bird     MLP                       Ball                     Car        Head                                       MLP                                     ...                                                                     

Source 4: VIT.pdf, page 4, score=0.5984738288500427
As a special case, the patches can have spatial size 1x1, which means that the input sequence is obtained by simply ﬂattening the spatial dimensions of the feature map and projecting to the Transformer dimension. The classiﬁcation input embedding and position embeddings are added as described above.  3.2  FINE-TUNING AND HIGHER RESOLUTION  Typically, we pre-train ViT on large datasets, and ﬁne-tune to (smaller) downstream tasks.  For this, we remove the pre-trained prediction head and attach a z",5,5,none,检索全部来自 VIT，答案比 chunk=300 更完整，包含公式、class token、position embedding 和 encoder 结构。
Q2,CLIP 的 contrastive pre-training objective 是什么？请解释 image-text pairs、cosine similarity 和 symmetric cross entropy loss 的作用。,CLIP.pdf,500,75,4,621,VIT.pdf; CLIP.pdf; CLIP.pdf; internvl.pdf,1; 1; 4; 4,"根据当前检索到的论文片段，只能部分回答该问题。

片段中提到，CLIP 的对比预训练目标是“predicting only which text as a whole is paired with which image and not the exact words of that text”（仅预测哪段文本整体与哪张图像配对，而非预测文本中的具体词语），并将预测目标替换为对比目标（contrastive objective）。片段中提到了 image-text pairs 的作用，即训练系统基于成对的图像和文本进行配对预测。

然而，关于 cosine similarity 和 symmetric cross entropy loss 的具体作用，在检索到的片段中并未提及。因此，根据当前检索到的论文片段无法确定这两部分的具体解释。","Source 1: VIT.pdf, page 1, score=0.6083550386937032
Image patches are treated the same way as tokens (words) in an NLP application. We train                         the model on image classiﬁcation in supervised fashion.                  When trained on mid-sized datasets such as ImageNet without strong regularization, these mod-                           els yield modest accuracies of a few percentage points below ResNets of comparable size. This                      seemingly discouraging outcome may be expected: Transformers lack some of the i

Source 2: CLIP.pdf, page 1, score=0.6002867834453304
After pre-training, natural language          lections of text surpasses that of high-quality crowd-labeled[cs.CV]           is used to reference learned visual concepts (or      NLP datasets. However, in other ﬁelds such as computer                describe new ones) enabling zero-shot transfer         vision it is still standard practice to pre-train models on                of the model to downstream tasks. We study         crowd-labeled datasets such as ImageNet (Deng et al., 2009).          

Source 3: CLIP.pdf, page 4, score=0.599843903299717
may be co-adapted with details of current image only in This is a difﬁcult task due to the wide variety of descriptions,    self-supervised representation learning methods. We also comments, and related text that co-occur with images. Re-   remove the text transformation function tu from Zhang et al. cent work in contrastive representation learning for images    (2020) which samples a single sentence at uniform from has found that contrastive objectives can learn better repre-    the text since 

Source 4: internvl.pdf, page 4, score=0.5983404591477136
2.3  Post-Training  After the pre-training stage, we adopt a three-stage post-training strategy comprising: (1) Supervised Fine-Tuning (SFT), which maintains the same training objective as pre-training but leverages higher-quality conversation data to further enhance the model’s capabilities. (2) Cascade Reinforcement Learning (Cascade RL), which combines the benefits of offline and online RL methods to facilitate the reasoning capabilities. (3) Visual Consistency Learning (ViCO), which aims to ",3,4,mixed_sources + retrieval_incomplete,检索混入 VIT 和 internvl，CLIP 片段不足；答案只回答了配对目标，未解释 cosine similarity 和 symmetric cross entropy。
Q3,LLaVA 的 visual instruction tuning data 是如何由 GPT-4 生成的？请分别解释 conversation、detailed description 和 complex reasoning 三类数据。,llava.pdf,500,75,4,621,llava.pdf; llava.pdf; video-llava.pdf; llava.pdf,3; 5; 4; 2,"根据检索到的论文片段，LLaVA 的 visual instruction tuning data 生成方式如下：

GPT-4 被用作“强教师”来创建包含视觉内容的指令遵循数据。为了让仅接受文本输入的 GPT-4 理解图像，图像被编码为两种符号表示：**描述（captions）** 和 **边界框（bounding boxes）**，从而将图像转化为大语言模型可识别的序列。数据生成基于 COCO 图像，并设计了三种类型的指令遵循数据。对于每种类型，首先人工设计少量示例作为种子，然后通过上下文学习（in-context-learning）的方式查询 GPT-4 来生成更多数据。

片段中仅对 **Conversation** 类型进行了具体说明：设计一段助手与提问者之间关于照片的对话，助手的回答语气如同它正在看着图像并回答问题。

至于 **detailed description** 和 **complex reasoning** 这两类数据的具体生成方式，根据当前检索到的论文片段无法确定。","Source 1: llava.pdf, page 3, score=0.6205742339430925
following data, the available amount is limited, partially because the process for creating such data is time-consuming and less well-defined when human crowd-scouring is considered. Inspired by the success of recent GPT models in text-annotation tasks [17], we propose to leverage ChatGPT/GPT-4 for multimodal instruction-following data collection, based on the widely existing image-pair data.  For an image Xv and its associated caption Xc, it is natural to create a set of questions Xq with the i

Source 2: llava.pdf, page 5, score=0.6188807152571839
See Appendix for more training details.  5.1  Multimodal Chatbot  We developed a chatbot demo to show the image understanding and conversation abilities of LLaVA, and to study how well LLaVA is able to digest visual inputs and exhibit instruction-following capabilities. We first use the examples in the original GPT-4 paper [36], shown in Table 3 (more examples in Appendix), that require in-depth image understanding. For comparisons, we quote the prompt and response of the multimodal GPT-4 from t

Source 3: video-llava.pdf, page 4, score=0.6112085832474595
The uni-   where r represents the round number. As shown in fied visual representation is fed into LLM after   Equation 3, when r > 1 we concatenate the conver- passing through a shared projection layer.            sations from all previous rounds with the current                                                       instruction as the input for this round. The train- 3.2  Training Pipeline                                                  ing objective remains the same as in the previous Overall

Source 4: llava.pdf, page 2, score=0.6052128255157008
Other LMMs trained on image- text pairs include BLIP-2 [28], FROMAGe [24], and KOSMOS-1 [20]. PaLM-E [13] is an LMM for embodied AI. Based on the recent “best” open-source LLM LLaMA, OpenFlamingo [5] and LLaMA-Adapter [59] are open-source efforts that enable LLaMA to use image inputs, paving the way to build open-source multimodal LLMs. While these models present promising task transfer generalization performance, they are not explicitly tuned with vision-language instruction data, and their per",3,4,answer_incomplete,检索到 llava page 3/5 等关键片段，能说明 GPT-4、caption、bbox、COCO 和 conversation，但 detailed description/complex reasoning 不完整。
Q4,在 Video-LLaVA 中，为什么作者认为 image features 和 video features 必须在 projection layer 之前对齐？请结合 unified visual representation 和 LanguageBind 解释。,video-llava.pdf,500,75,4,621,video-llava.pdf; video-llava.pdf; video-llava.pdf; video-llava.pdf,4; 13; 9; 7,根据检索到的论文片段，作者认为 image features 和 video features 必须在 projection layer 之前对齐，是为了**解决投影前的错位（misalignment before projection）问题**。具体而言，Video-LLaVA 利用 LanguageBind 编码器将视觉信号预先绑定（pre-bind）到语言特征空间中，使得图像和视频特征在进入共享投影层之前就已经处于对齐的状态。这样，经过共享投影层后，就能得到统一的视觉表示（unified visual representation），再送入大语言模型，从而让 LLM 能够同时理解图像和视频。,"Source 1: video-llava.pdf, page 4, score=0.634789006840942
The uni-   where r represents the round number. As shown in fied visual representation is fed into LLM after   Equation 3, when r > 1 we concatenate the conver- passing through a shared projection layer.            sations from all previous rounds with the current                                                       instruction as the input for this round. The train- 3.2  Training Pipeline                                                  ing objective remains the same as in the previous Overall

Source 2: video-llava.pdf, page 13, score=0.6158827189858744
[Input Instruction] What is the main focus of the video.                                                                                                                                                                        The main focus of the video is the process of creating a painting of a tree using various                                                                                                                                                                                           

Source 3: video-llava.pdf, page 9, score=0.6133155959227488
pare with Video-LLaVA∗to assess the performance   while preserving data features. This would support gains from joint image training on video bench-   Video-LLaVA in better understanding long videos. marks.  In Table 6, we evaluate our model on    Besides, Video-LLaVA can serve as a baseline to four video question-answering datasets.  Com-   extend to additional visual-related modalities, such pared to Video-LLaVA∗without image in training,   as depth and infrared images.  Additionally, we the m

Source 4: video-llava.pdf, page 7, score=0.6044406207410175
Table 4: Zero-shot object hallucination evaluation results are reported for three POPE evaluation settings. “Yes” indicates the proportion of positive responses to the given question. † donates that we reproduce LLaVA-1.5 with LanguageBind-Image encoder to compare fairly.",4,4,none,检索全部来自 Video-LLaVA，答案能解释 misalignment before projection、LanguageBind 和 unified visual representation，但细节略简。
